question_id,question_text,min_year,max_year,n_rows
QUO336,Indicator of baby having a well-baby check-up,2000,2008,241
QUO34,Pregnancy Confirmation after the First Trimester,2000,2011,327
QUO35,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about physical abuse to women by their husbands or partners?,2000,2011,327
QUO36,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about using a seat belt during your pregnancy ?,2000,2011,327
QUO364,Indicator of whether delivery was paid for by insurance through the military,2000,2011,168
QUO365,Indicator of no insurance to pay for delivery,2009,2011,86
QUO366,Indicator of whether delivery was paid for by insurance purchased directly,2009,2011,86
QUO367,Indicator of whether delivery was paid for by insurance through an employer,2009,2011,86
QUO368,Indicator of whether prenatal care was paid for by insurance through the military,2000,2011,163
QUO369,Indicator of no insurance to pay for prenatal care,2009,2011,86
QUO37,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about breastfeeding your baby?,2000,2011,327
QUO370,Indicator of whether prenatal care was paid for by insurance purchased directly,2009,2011,86
QUO371,Indicator of whether prenatal care was paid for by insurance through an employer,2009,2011,86
QUO38,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how drinking alcohol during pregnancy could affect your baby?,2000,2011,327
QUO39,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about getting your blood tested for HIV?,2000,2011,327
QUO4,Indicator of whether mother was still breastfeeding 4 weeks after delivery.,2000,2011,327
QUO40,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about how smoking during pregnancy could affect your baby?,2000,2011,327
QUO41,Indicator of whether mother took vitamins more than 4 times a week during the month prior to pregnancy,2000,2011,327
QUO42,Indicator of sufficient well-baby care,2000,2008,126
QUO44,Indicator of whether mother was still breastfeeding 8 weeks after delivery.,2000,2011,327
QUO5,Did you ever breastfeed or pump breast milk to feed your new baby after delivery?,2004,2011,228
QUO65,(*PCH) During the month before you got pregnant with your new baby  did you take a daily multivitamin?,2000,2011,327
QUO66,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about what to do if your labor starts early?,2000,2011,327
QUO67,During any of your prenatal care visits  did a doctor  nurse  or other health care worker talk with you about doing tests to screen for birth defects or diseases that run in your family?,2000,2011,327
QUO69,Indicator for whether mother quit smoking during pregnancy (for smokers only),2000,2011,327
QUO73,Indicator of whether infant usually sleeps in a shared bed.,2000,2011,182
QUO74,(*PCH) Indicator of whether mother reported frequent postpartum depressive symptoms(years 2004 - 2008).,2004,2008,102
QUO75,During your most recent pregnancy  did you have your teeth cleaned?,2004,2011,118
QUO8,(*PCH) Indicator of drinking alcohol during the three months before pregnancy,2000,2011,327
QUO80,Reason for not using postpartum contraception - husband or partner does not want to,2000,2011,327
QUO81,Reason for not using postpartum contraception - does not think she could become pregnant (sterile),2000,2011,327
QUO82,Reason for not using postpartum contraception - not having sex,2000,2011,327
QUO83,Reason for not using postpartum contraception - some other reason,2000,2011,327
QUO84,Reason for not using postpartum contraception - cannot pay for birth control,2000,2011,325
QUO85,Reason for not using postpartum contraception - currently pregnant,2000,2011,325
QUO86,Reason for not using postpartum contraception - wants to get pregnant,2000,2011,327
QUO87,Reason for not using postpartum contraception - does not want to use birth control,2000,2011,327
QUO89,Indicator of contraception use at the time of pregnancy (for those not trying to get pregnant),2000,2011,327
QUO9,Indicator of whether mother reported having any alcoholic drinks during the last 3 months of pregnancy,2000,2011,327
QUO91,Before you got pregnant  did a doctor  nurse  or other health care worker talk to you about how to prepare for a healthy pregnancy and baby?,2004,2011,61
QUO92,Indicator of ever having teeth cleaned,2004,2011,96
QUO93,During your most recent pregnancy  did you need to see a dentist for a problem?,2000,2011,191
QUO94,During your most recent pregnancy  did a dentist or dental worker talk to you about how to care for your teeth and gums?,2000,2011,193
QUO95,During your most recent pregnancy  did you go to a dentist or dental clinic?,2000,2011,192
QUO97,Did a doctor  nurse  or other health care worker talk with you about baby blues or postpartum depression during pregnancy or after your delivery?,2004,2011,67
